"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","Region","Starting.Median.Salary","Mid.Career.Median.Salary","Mid.Career.10th.Percentile.Salary","Mid.Career.25th.Percentile.Salary","Mid.Career.75th.Percentile.Salary","Mid.Career.90th.Percentile.Salary","outstate_ratio","instate_ratio","outstate_return","instate_return"
"adelphi university","New York","NY","Private","4 Year",16030,38660,54690,38660,54690,"Northeastern",40600,79200,44200,54800,114000,160000,1.448,1.448,FALSE,FALSE
"amherst college","Massachusetts","MA","Private","4 Year",14740,56426,71166,56426,71166,"Northeastern",54500,107000,NA,84900,162000,NA,1.504,1.504,FALSE,FALSE
"appalachian state university","North Carolina","NC","Public","4 Year",8304,7214,15518,22021,30325,"Southern",40400,69100,37200,50400,90800,115000,2.279,4.453,TRUE,TRUE
"auburn university","Alabama","AL","Public","4 Year",13332,11276,24608,30524,43856,"Southern",45400,84700,45400,62700,109000,145000,1.931,3.442,TRUE,TRUE
"austin peay state university","Tennessee","TN","Public","4 Year",10700,8411,19111,24467,35167,"Southern",37700,59200,32200,40500,73900,96200,1.683,3.098,FALSE,TRUE
"bates college","Maine","ME","Private","4 Year",15224,53794,69018,53794,69018,"Northeastern",47300,96500,NA,60700,162000,NA,1.398,1.398,FALSE,FALSE
"baylor university","Texas","TX","Private","4 Year",12595,45727,58322,45727,58322,"Southern",48300,88600,46300,60700,130000,2e+05,1.519,1.519,FALSE,FALSE
"black hills state university","South Dakota","SD","Public","4 Year",6978,8733,15711,11778,18756,"Midwestern",35300,43900,NA,32200,60900,NA,2.341,2.794,TRUE,TRUE
"boston college","Massachusetts","MA","Private","4 Year",14478,55464,69942,55464,69942,"Northeastern",52700,103000,48900,70000,143000,195000,1.473,1.473,FALSE,FALSE
"boston university","Massachusetts","MA","Private","4 Year",15720,53948,69668,53948,69668,"Northeastern",49000,93900,48000,64900,130000,193000,1.348,1.348,FALSE,FALSE
"bowdoin college","Maine","ME","Private","4 Year",14698,53922,68620,53922,68620,"Northeastern",48100,107000,NA,74600,146000,NA,1.559,1.559,FALSE,FALSE
"bowling green state university","Ohio","OH","Public","4 Year",9168,11105,20273,19093,28261,"Midwestern",39800,72100,38200,51800,101000,146000,2.551,3.556,TRUE,TRUE
"bradley university","Illinois","IL","Private","4 Year",10620,33760,44380,33760,44380,"Midwestern",47000,87300,45900,64900,113000,151000,1.967,1.967,TRUE,FALSE
"brown university","Rhode Island","RI","Private","4 Year",14670,55656,70326,55656,70326,"Northeastern",56200,109000,55400,74400,159000,228000,1.55,1.55,FALSE,FALSE
"bucknell university","Pennsylvania","PA","Private","4 Year",13662,56092,69754,56092,69754,"Northeastern",54100,110000,62800,80600,156000,251000,1.577,1.577,FALSE,FALSE
"carleton college","Minnesota","MN","Private","4 Year",14085,54759,68844,54759,68844,"Midwestern",47500,103000,NA,69400,141000,NA,1.496,1.496,FALSE,FALSE
"case western reserve university","Ohio","OH","Private","4 Year",15190,49042,64232,49042,64232,"Midwestern",56200,96500,54900,76500,123000,168000,1.502,1.502,FALSE,FALSE
"clemson university","South Carolina","SC","Public","4 Year",10832,14970,25802,36724,47556,"Southern",48400,86000,50500,61800,111000,150000,1.808,3.333,TRUE,TRUE
"cleveland state university","Ohio","OH","Public","4 Year",13560,10625,24185,14992,28552,"Midwestern",43500,73100,39500,51600,97000,137000,2.56,3.023,TRUE,TRUE
"colby college","Maine","ME","Private","4 Year",14190,55210,69400,55210,69400,"Northeastern",46400,85800,NA,63500,129000,NA,1.236,1.236,FALSE,FALSE
"colgate university","New York","NY","Private","4 Year",13995,55870,69865,55870,69865,"Northeastern",52800,108000,60000,76700,167000,265000,1.546,1.546,FALSE,FALSE
"college of the holy cross","Massachusetts","MA","Private","4 Year",14520,52770,67290,52770,67290,"Northeastern",50200,106000,NA,65600,143000,NA,1.575,1.575,FALSE,FALSE
"colorado school of mines","Colorado","CO","Public","4 Year",13169,18964,32133,38584,51753,"Western",58100,106000,62200,87900,142000,201000,2.048,3.299,TRUE,TRUE
"columbia university","New York","NY","Private","4 Year",14016,59985,74001,59985,74001,"Northeastern",59400,107000,50300,71900,161000,241000,1.446,1.446,FALSE,FALSE
"cornell university","New York","NY","Private","4 Year",14816,55188,70004,55188,70004,"Northeastern",60300,110000,56800,79800,160000,210000,1.571,1.571,FALSE,FALSE
"dallas baptist university","Texas","TX","Private","4 Year",7992,28870,36862,28870,36862,"Southern",39400,60200,38500,50300,81800,98100,1.633,1.633,FALSE,FALSE
"dartmouth college","New Hampshire","NH","Private","4 Year",15756,55453,71209,55453,71209,"Northeastern",58000,134000,63100,90200,234000,321000,1.882,1.882,TRUE,FALSE
"davenport university","Michigan","MI","Private","4 Year",9928,22800,32728,22800,32728,"Midwestern",39700,46600,31600,38100,65600,85700,1.424,1.424,FALSE,FALSE
"davidson college","North Carolina","NC","Private","4 Year",14372,51447,65819,51447,65819,"Southern",46100,104000,NA,70500,146000,NA,1.58,1.58,FALSE,FALSE
"denison university","Ohio","OH","Private","4 Year",12710,51960,64670,51960,64670,"Midwestern",42000,83500,NA,62100,122000,NA,1.291,1.291,FALSE,FALSE
"depaul university","Illinois","IL","Private","4 Year",14235,39975,54210,39975,54210,"Midwestern",46400,84800,50300,63900,115000,160000,1.564,1.564,FALSE,FALSE
"depauw university","Indiana","IN","Private","4 Year",13020,49704,62724,49704,62724,"Midwestern",41400,88200,49500,57400,133000,185000,1.406,1.406,FALSE,FALSE
"drexel university","Pennsylvania","PA","Private","4 Year",14079,53279,67358,53279,67358,"Northeastern",53400,93500,54900,72500,122000,161000,1.388,1.388,FALSE,FALSE
"duke university","North Carolina","NC","Private","4 Year",15178,55695,70873,55695,70873,"Southern",58900,106000,56000,77400,149000,218000,1.496,1.496,FALSE,FALSE
"duquesne university","Pennsylvania","PA","Private","4 Year",12586,38178,50764,38178,50764,"Northeastern",40700,84400,42600,59500,107000,131000,1.663,1.663,FALSE,FALSE
"eastern michigan university","Michigan","MI","Public","4 Year",9854,13959,23813,13959,23813,"Midwestern",40300,72100,37900,52800,95400,135000,3.028,3.028,TRUE,TRUE
"eastern washington university","Washington","WA","Public","4 Year",12793,7323,20116,24444,37237,"Western",38600,70900,36000,50500,93100,117000,1.904,3.525,TRUE,TRUE
"emory university","Georgia","GA","Private","4 Year",14456,51306,65762,51306,65762,"Southern",52000,91600,52500,63300,128000,192000,1.393,1.393,FALSE,FALSE
"evergreen state college","Washington","WA","Public","4 Year",11346,7949,19295,26459,37805,"Western",39500,63900,38800,47200,91600,120000,1.69,3.312,FALSE,TRUE
"fashion institute of technology","New York","NY","Public","4 Year",14480,5740,20220,15520,30000,"Northeastern",42800,81000,38800,60500,106000,138000,2.7,4.006,TRUE,TRUE
"fordham university","New York","NY","Private","4 Year",17969,52687,70656,52687,70656,"Northeastern",47800,99900,48600,65900,142000,198000,1.414,1.414,FALSE,FALSE
"fort lewis college","Colorado","CO","Public","4 Year",9878,9040,18918,19696,29574,"Western",42000,69800,NA,55000,94000,NA,2.36,3.69,TRUE,TRUE
"george mason university","Virginia","VA","Public","4 Year",11460,12462,23922,35922,47382,"Southern",47800,86900,51300,67200,114000,150000,1.834,3.633,TRUE,TRUE
"georgetown university",NA,"DC","Private","4 Year",16509,54104,70613,54104,70613,"Southern",55000,110000,60300,85800,174000,248000,1.558,1.558,FALSE,FALSE
"georgia institute of technology","Georgia","GA","Public","4 Year",11884,12424,24308,33020,44904,"Southern",58300,106000,67200,85200,137000,183000,2.361,4.361,TRUE,TRUE
"georgia state university","Georgia","GA","Public","4 Year",11378,10858,22236,29432,40810,"Southern",41800,74000,43000,55300,99900,145000,1.813,3.328,TRUE,TRUE
"gettysburg college","Pennsylvania","PA","Private","4 Year",13010,54480,67490,54480,67490,"Northeastern",44700,85800,NA,66300,132000,NA,1.271,1.271,FALSE,FALSE
"gonzaga university","Washington","WA","Private","4 Year",11944,43210,55154,43210,55154,"Western",44900,76000,47000,57400,103000,138000,1.378,1.378,FALSE,FALSE
"grinnell college","Iowa","IA","Private","4 Year",12810,52392,65202,52392,65202,"Midwestern",42600,76600,NA,65100,116000,NA,1.175,1.175,FALSE,FALSE
"gustavus adolphus college","Minnesota","MN","Private","4 Year",9910,45400,55310,45400,55310,"Midwestern",44500,80600,NA,49300,101000,NA,1.457,1.457,FALSE,FALSE
"hamilton college","New York","NY","Private","4 Year",13870,54620,68490,54620,68490,"Northeastern",49200,83700,NA,51900,123000,NA,1.222,1.222,FALSE,FALSE
"harvey mudd college","California","CA","Private","4 Year",18127,56876,75003,56876,75003,"California",71800,122000,NA,96000,180000,NA,1.627,1.627,FALSE,FALSE
"hofstra university","New York","NY","Private","4 Year",15948,46760,62708,46760,62708,"Northeastern",46800,92700,48900,67000,135000,189000,1.478,1.478,FALSE,FALSE
"howard university",NA,"DC","Private","4 Year",13895,27056,40951,27056,40951,"Southern",46900,81800,43300,60000,109000,138000,1.998,1.998,TRUE,FALSE
"humboldt state university","California","CA","Public","4 Year",12870,7676,20546,19556,32426,"California",42600,71300,36000,56300,94400,117000,2.199,3.47,TRUE,TRUE
"idaho state university","Idaho","ID","Public","4 Year",7207,7420,14627,22940,30147,"Western",44900,73400,35400,49600,101000,143000,2.435,5.018,TRUE,TRUE
"illinois state university","Illinois","IL","Public","4 Year",9850,14516,24366,26040,35890,"Midwestern",42000,73400,39100,55200,105000,142000,2.045,3.012,TRUE,TRUE
"iowa state university","Iowa","IA","Public","4 Year",8720,8988,17708,23392,32112,"Midwestern",45400,84600,44400,60000,109000,147000,2.635,4.778,TRUE,TRUE
"ithaca college","New York","NY","Private","4 Year",15562,43978,59540,43978,59540,"Northeastern",42700,87400,50200,62400,128000,174000,1.468,1.468,FALSE,FALSE
"jacksonville university","Florida","FL","Private","4 Year",14080,36670,50750,36670,50750,"Southern",46700,66200,36700,47200,88500,121000,1.304,1.304,FALSE,FALSE
"juniata college","Pennsylvania","PA","Private","4 Year",12521,45597,58118,45597,58118,"Northeastern",41800,78900,NA,67200,110000,NA,1.358,1.358,FALSE,FALSE
"kent state university","Ohio","OH","Public","4 Year",11362,10012,21374,18714,30076,"Midwestern",38700,62600,36100,45800,87000,124000,2.081,2.929,TRUE,TRUE
"lafayette college","Pennsylvania","PA","Private","4 Year",15640,52880,68520,52880,68520,"Northeastern",53900,107000,70600,79300,144000,204000,1.562,1.562,FALSE,FALSE
"lamar university","Texas","TX","Public","4 Year",8920,10192,19112,22642,31562,"Southern",46500,79400,38700,51600,114000,158000,2.516,4.154,TRUE,TRUE
"lehigh university","Pennsylvania","PA","Private","4 Year",13600,52930,66530,52930,66530,"Northeastern",59200,105000,69500,85000,160000,229000,1.578,1.578,FALSE,FALSE
"letourneau university","Texas","TX","Private","4 Year",9970,30210,40180,30210,40180,"Southern",49500,73800,41200,52700,95200,126000,1.837,1.837,TRUE,FALSE
"lewis & clark college","Oregon","OR","Private","4 Year",12490,50934,63424,50934,63424,"Western",38900,72600,38200,53400,104000,140000,1.145,1.145,FALSE,FALSE
"marquette university","Wisconsin","WI","Private","4 Year",12720,41870,54590,41870,54590,"Midwestern",48500,88400,49500,67400,121000,184000,1.619,1.619,FALSE,FALSE
"mercy college","New York","NY","Private","4 Year",14400,19042,33442,19042,33442,"Northeastern",43700,62600,35600,47300,99000,134000,1.872,1.872,TRUE,FALSE
"middlebury college","Vermont","VT","Private","4 Year",15530,54450,69980,54450,69980,"Northeastern",47700,94200,NA,69100,129000,NA,1.346,1.346,FALSE,FALSE
"mississippi college","Mississippi","MS","Private","4 Year",10300,18026,28326,18026,28326,"Southern",35400,60400,NA,43900,80400,NA,2.132,2.132,TRUE,FALSE
"moravian college","Pennsylvania","PA","Private","4 Year",13378,43636,57014,43636,57014,"Northeastern",42500,74400,NA,56700,94900,NA,1.305,1.305,FALSE,FALSE
"morehead state university","Kentucky","KY","Public","4 Year",9960,9170,19130,13646,23606,"Southern",34800,60600,34300,46500,72000,91300,2.567,3.168,TRUE,TRUE
"mount holyoke college","Massachusetts","MA","Private","4 Year",14660,49998,64658,49998,64658,"Northeastern",42400,94200,NA,57100,131000,NA,1.457,1.457,FALSE,FALSE
"new mexico state university","New Mexico","NM","Public","4 Year",9252,7368,16620,23508,32760,"Western",44300,79500,37400,53800,102000,131000,2.427,4.783,TRUE,TRUE
"niagara university","New York","NY","Private","4 Year",13200,33180,46380,33180,46380,"Northeastern",36900,69700,44000,57000,92000,128000,1.503,1.503,FALSE,FALSE
"northeastern university","Massachusetts","MA","Private","4 Year",16880,51387,68267,51387,68267,"Northeastern",50500,86400,47100,62700,117000,159000,1.266,1.266,FALSE,FALSE
"northwestern university","Illinois","IL","Private","4 Year",16626,54567,71193,54567,71193,"Midwestern",52700,95900,51900,69100,144000,205000,1.347,1.347,FALSE,FALSE
"oberlin college","Ohio","OH","Private","4 Year",16338,55054,71392,55054,71392,"Midwestern",43400,81600,NA,46400,128000,NA,1.143,1.143,FALSE,FALSE
"occidental college","California","CA","Private","4 Year",15496,54686,70182,54686,70182,"California",51900,105000,NA,54800,157000,NA,1.496,1.496,FALSE,FALSE
"ohio university","Ohio","OH","Public","4 Year",11830,12192,24022,21656,33486,"Midwestern",42200,73400,36600,52800,106000,150000,2.192,3.056,TRUE,TRUE
"oklahoma city university","Oklahoma","OK","Private","4 Year",8896,31026,39922,31026,39922,"Southern",40000,64300,NA,45400,80600,NA,1.611,1.611,FALSE,FALSE
"oklahoma state university","Oklahoma","OK","Public","4 Year",8549,9019,17568,24539,33088,"Southern",42800,80700,40100,56500,114000,151000,2.439,4.594,TRUE,TRUE
"pace university","New York","NY","Private","4 Year",19200,45280,64480,45280,64480,"Northeastern",53200,89700,44200,65400,129000,187000,1.391,1.391,FALSE,FALSE
"park university","Missouri","MO","Private","4 Year",8200,12650,20850,12650,20850,"Midwestern",44300,64300,37200,45600,86400,113000,3.084,3.084,TRUE,TRUE
"pittsburg state university","Kansas","KS","Public","4 Year",7778,7298,15076,18642,26420,"Midwestern",40400,58200,25600,46000,84600,117000,2.203,3.86,TRUE,TRUE
"pomona college","California","CA","Private","4 Year",16716,52780,69496,52780,69496,"California",48600,101000,NA,63300,161000,NA,1.453,1.453,FALSE,FALSE
"pratt institute","New York","NY","Private","4 Year",12622,51870,64492,51870,64492,"Northeastern",43800,89900,48600,65400,123000,155000,1.394,1.394,FALSE,FALSE
"princeton university","New Jersey","NJ","Private","4 Year",16290,49330,65620,49330,65620,"Northeastern",66500,131000,68900,1e+05,190000,261000,1.996,1.996,TRUE,FALSE
"providence college","Rhode Island","RI","Private","4 Year",14700,50390,65090,50390,65090,"Northeastern",48000,88600,42800,62900,138000,194000,1.361,1.361,FALSE,FALSE
"purdue university","Indiana","IN","Public","4 Year",10030,9992,20022,28794,38824,"Midwestern",51400,90500,49900,67400,121000,168000,2.331,4.52,TRUE,TRUE
"quinnipiac university","Connecticut","CT","Private","4 Year",14540,47960,62500,47960,62500,"Northeastern",43000,76500,47900,57400,117000,155000,1.224,1.224,FALSE,FALSE
"randolph-macon college","Virginia","VA","Private","4 Year",11860,41400,53260,41400,53260,"Southern",42600,83600,NA,54100,123000,NA,1.57,1.57,FALSE,FALSE
